""	"Indicator.Name"
"SP.POP.65UP.TO.ZS"	"Population ages 65 and above (% of total)"
"SP.POP.65UP.FE.IN"	"Population ages 65 and above, female"
"SP.POP.TOTL.FE.IN"	"Population, female"
"SP.POP.TOTL.FE.ZS"	"Population, female (% of total)"
"SP.POP.TOTL"	"Population, total"
"SI.POV.DDAY"	"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)"
"SI.POV.NAHC"	"Poverty headcount ratio at national poverty lines (% of population)"
"SH.STA.ANVC.ZS"	"Pregnant women receiving prenatal care (%)"
"SH.ANM.ALLW.ZS"	"Prevalence of anemia among women of reproductive age (% of women ages 15-49)"
"SH.HIV.1524.FE.ZS"	"Prevalence of HIV, female (% ages 15-24)"
"SH.HIV.1524.MA.ZS"	"Prevalence of HIV, male (% ages 15-24)"
"SH.STA.OB18.FE.ZS"	"Prevalence of obesity, female (% of female population ages 18+)"
"SH.STA.OB18.MA.ZS"	"Prevalence of obesity, male (% of male population ages 18+)"
"SH.STA.OWAD.FE.ZS"	"Prevalence of overweight, female (% of female adults)"
"SH.STA.OWAD.MA.ZS"	"Prevalence of overweight, male (% of male adults)"
"SH.STA.OWGH.FE.ZS"	"Prevalence of overweight, weight for height, female (% of children under 5)"
"SH.STA.OWGH.MA.ZS"	"Prevalence of overweight, weight for height, male (% of children under 5)"
"SH.SVR.WAST.FE.ZS"	"Prevalence of severe wasting, weight for height, female (% of children under 5)"
"SH.SVR.WAST.MA.ZS"	"Prevalence of severe wasting, weight for height, male (% of children under 5)"
"SH.STA.STNT.FE.ZS"	"Prevalence of stunting, height for age, female (% of children under 5)"
"SH.STA.STNT.MA.ZS"	"Prevalence of stunting, height for age, male (% of children under 5)"
"SH.STA.MALN.FE.ZS"	"Prevalence of underweight, weight for age, female (% of children under 5)"
"SH.STA.MALN.MA.ZS"	"Prevalence of underweight, weight for age, male (% of children under 5)"
"SH.STA.WAST.FE.ZS"	"Prevalence of wasting, weight for height, female (% of children under 5)"
"SH.STA.WAST.MA.ZS"	"Prevalence of wasting, weight for height, male (% of children under 5)"
"SE.PRM.CMPT.FE.ZS"	"Primary completion rate, female (% of relevant age group)"
"SE.PRM.CMPT.MA.ZS"	"Primary completion rate, male (% of relevant age group)"
"SE.PRM.ENRL.FE.ZS"	"Primary education, pupils (% female)"
"SE.PRM.TCHR.FE.ZS"	"Primary education, teachers (% female)"
"HD.HCI.MORT"	"Probability of Survival to Age 5"
"HD.HCI.MORT.FE"	"Probability of Survival to Age 5, Female"
"HD.HCI.MORT.MA"	"Probability of Survival to Age 5, Male"
"SE.SEC.PROG.FE.ZS"	"Progression to secondary school, female (%)"
"SE.SEC.PROG.MA.ZS"	"Progression to secondary school, male (%)"
"SG.GEN.PARL.ZS"	"Proportion of seats held by women in national parliaments (%)"
"SG.TIM.UWRK.FE"	"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
"SG.TIM.UWRK.MA"	"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
"SG.GEN.MNST.ZS"	"Proportion of women in ministerial level positions (%)"
"SG.VAW.1549.ZS"	"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49)"
"UIS.ROFST.3.F.CP"	"Rate of out-of-school youth of upper secondary school age, female (%)"
"UIS.ROFST.3.M.CP"	"Rate of out-of-school youth of upper secondary school age, male (%)"
"SL.TLF.CACT.FM.ZS"	"Ratio of female to male labor force participation rate (%) (modeled ILO estimate)"
"SL.TLF.CACT.FM.NE.ZS"	"Ratio of female to male labor force participation rate (%) (national estimate)"
"SL.UEM.1524.FM.ZS"	"Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)"
"SL.UEM.1524.FM.NE.ZS"	"Ratio of female to male youth unemployment rate (%) (national estimate)"
"SP.RUR.TOTL.FE.ZS"	"Rural population, female (% of total)"
"SP.RUR.TOTL.MA.ZS"	"Rural population, male (% of total)"
"fin18.t.d.2"	"Saved any money in the past year, female  (% age 15+)"
"fin18.t.d.1"	"Saved any money in the past year, male  (% age 15+)"
"SE.ENR.PRIM.FM.ZS"	"School enrollment, primary (gross), gender parity index (GPI)"
"SE.ENR.PRSC.FM.ZS"	"School enrollment, primary and secondary (gross), gender parity index (GPI)"
"SE.PRM.ENRR.FE"	"School enrollment, primary, female (% gross)"
"SE.PRM.NENR.FE"	"School enrollment, primary, female (% net)"
"SE.PRM.ENRR.MA"	"School enrollment, primary, male (% gross)"
"SE.PRM.NENR.MA"	"School enrollment, primary, male (% net)"
"SE.ENR.SECO.FM.ZS"	"School enrollment, secondary (gross), gender parity index (GPI)"
"SE.SEC.ENRR.FE"	"School enrollment, secondary, female (% gross)"
"SE.SEC.NENR.FE"	"School enrollment, secondary, female (% net)"
"SE.SEC.ENRR.MA"	"School enrollment, secondary, male (% gross)"
"SE.SEC.NENR.MA"	"School enrollment, secondary, male (% net)"
"SE.ENR.TERT.FM.ZS"	"School enrollment, tertiary (gross), gender parity index (GPI)"
"SE.TER.ENRR.FE"	"School enrollment, tertiary, female (% gross)"
"SE.TER.ENRR.MA"	"School enrollment, tertiary, male (% gross)"
"SE.SEC.ENRL.FE.ZS"	"Secondary education, pupils (% female)"
"SE.SEC.TCHR.FE.ZS"	"Secondary education, teachers (% female)"
"SE.SEC.ENRL.VO"	"Secondary education, vocational pupils"
"SE.SEC.ENRL.VO.FE.ZS"	"Secondary education, vocational pupils (% female)"
"SL.EMP.SELF.FE.ZS"	"Self-employed, female (% of female employment) (modeled ILO estimate)"
"SL.EMP.SELF.MA.ZS"	"Self-employed, male (% of male employment) (modeled ILO estimate)"
"SP.POP.BRTH.MF"	"Sex ratio at birth (male births per female births)"
"IC.WEF.LLCO.FE.ZS"	"Share of female business owners (% of total business owners)"
"IC.WEF.LLCD.FE.ZS"	"Share of female directors (% of total directors)"
"IC.WEF.SOLO.FE.ZS"	"Share of female sole proprietors  (% of sole proprietors)"
"UIS.GTVP.2.V.F"	"Share of female students in lower secondary education enrolled in vocational programmes (%)"
"UIS.GTVP.4.V.F"	"Share of female students in post-secondary non-tertiary education enrolled in vocational programmes (%)"
"UIS.GTVP.3.V.F"	"Share of female students in upper secondary education enrolled in vocational programmes (%)"
"IC.WEF.LLCO.MA.ZS"	"Share of male business owners  (% of total business owners)"
"IC.WEF.LLCD.MA.ZS"	"Share of male directors (% of total directors)"
"IC.WEF.SOLO.MA.ZS"	"Share of male sole proprietors  (% of sole proprietors)"
"UIS.GTVP.2.V.M"	"Share of male students in lower secondary education enrolled in vocational programmes (%)"
"UIS.GTVP.4.V.M"	"Share of male students in post-secondary non-tertiary education enrolled in vocational programmes (%)"
"SE.SEC.ENRL.MA.VO.ZS"	"Share of male students in secondary education enrolled in vocational programmes (%)"
"UIS.GTVP.3.V.M"	"Share of male students in upper secondary education enrolled in vocational programmes (%)"
"SL.UEM.NEET.FE.ZS"	"Share of youth not in education, employment or training, female (% of female youth population)"
"SL.UEM.NEET.MA.ZS"	"Share of youth not in education, employment or training, male (% of male youth population)"
"SH.PRV.SMOK.FE"	"Smoking prevalence, females (% of adults)"
"SH.PRV.SMOK.MA"	"Smoking prevalence, males (% of adults)"
"IC.REG.PROC.FE"	"Start-up procedures to register a business, female (number)"
"IC.REG.PROC.MA"	"Start-up procedures to register a business, male (number)"
"SH.STA.SUIC.FE.P5"	"Suicide mortality rate, female (per 100,000 female population)"
"SH.STA.SUIC.MA.P5"	"Suicide mortality rate, male (per 100,000 male population)"
"HD.HCI.AMRT"	"Survival Rate from Age 15-60"
"HD.HCI.AMRT.FE"	"Survival Rate from Age 15-60, Female"
"HD.HCI.AMRT.MA"	"Survival Rate from Age 15-60, Male"
"SE.TER.TCHR.FE.ZS"	"Tertiary education, academic staff (% female)"
"IC.REG.DURS.FE"	"Time required to start a business, female (days)"
"IC.REG.DURS.MA"	"Time required to start a business, male (days)"
"SL.EMP.UNDR.FE.ZS"	"Time-related underemployment, female (% of employment)"
"SL.EMP.UNDR.MA.ZS"	"Time-related underemployment, male (% of employment)"
"SH.ALC.PCAP.FE.LI"	"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
"SH.ALC.PCAP.MA.LI"	"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
"SL.UEM.ADVN.FE.ZS"	"Unemployment with advanced education, female (% of female labor force with advanced education)"
"SL.UEM.ADVN.MA.ZS"	"Unemployment with advanced education, male (% of male labor force with advanced education)"
"SL.UEM.BASC.FE.ZS"	"Unemployment with basic education, female (% of female labor force with basic education)"
"SL.UEM.BASC.MA.ZS"	"Unemployment with basic education, male (% of male labor force with basic education)"
"SL.UEM.INTM.FE.ZS"	"Unemployment with intermediate education, female (% of female labor force with intermediate education)"
"SL.UEM.INTM.MA.ZS"	"Unemployment with intermediate education, male (% of male labor force with intermediate education)"
"SL.UEM.TOTL.FE.ZS"	"Unemployment, female (% of female labor force) (modeled ILO estimate)"
"SL.UEM.TOTL.FE.NE.ZS"	"Unemployment, female (% of female labor force) (national estimate)"
"SL.UEM.TOTL.MA.ZS"	"Unemployment, male (% of male labor force) (modeled ILO estimate)"
"SL.UEM.TOTL.MA.NE.ZS"	"Unemployment, male (% of male labor force) (national estimate)"
"SL.UEM.1524.FE.ZS"	"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
"SL.UEM.1524.FE.NE.ZS"	"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
"SL.UEM.1524.MA.ZS"	"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
"SL.UEM.1524.MA.NE.ZS"	"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
"SP.UWT.TFRT"	"Unmet need for contraception (% of married women ages 15-49)"
"SP.URB.TOTL.FE.ZS"	"Urban population, female (% of total)"
"SP.URB.TOTL.MA.ZS"	"Urban population, male (% of total)"
"SL.EMP.VULN.FE.ZS"	"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
"SL.EMP.VULN.MA.ZS"	"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"SL.EMP.WORK.FE.ZS"	"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
"SL.EMP.WORK.MA.ZS"	"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
"SP.DYN.WFRT"	"Wanted fertility rate (births per woman)"
"SG.CRT.TSTM.WT"	"Woman's testimony carries the same evidentiary weight in court as a man's (1=yes; 0=no)"
"SG.IND.WORK.EQ"	"Women are able to work in the same industries as men (1=yes; 0=no)"
"SG.DMK.SRCR.FN.ZS"	"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)"
"SG.DMK.VISI.FN.ZS"	"Women participating in decision of visits to family, relatives, friends (% of women age 15-49)"
"SG.DMK.FOOD.FN.ZS"	"Women participating in decision of what food to cook daily (% of women age 15-49)"
"SG.DMK.DPCH.FN.ZS"	"Women participating in making daily purchase decisions (% of women age 15-49)"
"SG.DMK.PRCH.FN.ZS"	"Women participating in making major household purchase decisions (% of women age 15-49)"
"SG.DMK.NONE.FN.ZS"	"Women participating in none of the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
"SG.DMK.HLTH.FN.ZS"	"Women participating in own health care decisions (% of women age 15-49)"
"SG.DMK.ALLD.FN.ZS"	"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
"SG.VAW.REAS.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%)"
"SG.VAW.REAS.Q1.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%): Q1 (lowest)"
"SG.VAW.REAS.Q2.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%): Q2"
"SG.VAW.REAS.Q3.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%): Q3"
"SG.VAW.REAS.Q4.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%): Q4"
"SG.VAW.REAS.Q5.ZS"	"Women who believe a husband is justified in beating his wife (any of five reasons) (%): Q5 (highest)"
"SG.VAW.ARGU.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%)"
"SG.VAW.ARGU.Q1.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%): Q1 (lowest)"
"SG.VAW.ARGU.Q2.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%): Q2"
"SG.VAW.ARGU.Q3.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%): Q3"
"SG.VAW.ARGU.Q4.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%): Q4"
"SG.VAW.ARGU.Q5.ZS"	"Women who believe a husband is justified in beating his wife when she argues with him (%): Q5 (highest)"
"SG.VAW.BURN.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%)"
"SG.VAW.BURN.Q1.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%): Q1 (lowest)"
"SG.VAW.BURN.Q2.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%): Q2"
"SG.VAW.BURN.Q3.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%): Q3"
"SG.VAW.BURN.Q4.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%): Q4"
"SG.VAW.BURN.Q5.ZS"	"Women who believe a husband is justified in beating his wife when she burns the food (%): Q5 (highest)"
"SG.VAW.GOES.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%)"
"SG.VAW.GOES.Q1.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%): Q1 (lowest)"
"SG.VAW.GOES.Q2.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%): Q2"
"SG.VAW.GOES.Q3.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%): Q3"
"SG.VAW.GOES.Q4.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%): Q4"
"SG.VAW.GOES.Q5.ZS"	"Women who believe a husband is justified in beating his wife when she goes out without telling him (%): Q5 (highest)"
"SG.VAW.NEGL.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%)"
"SG.VAW.NEGL.Q1.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%): Q1 (lowest)"
"SG.VAW.NEGL.Q2.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%): Q2"
"SG.VAW.NEGL.Q3.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%): Q3"
"SG.VAW.NEGL.Q4.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%): Q4"
"SG.VAW.NEGL.Q5.ZS"	"Women who believe a husband is justified in beating his wife when she neglects the children (%): Q5 (highest)"
"SG.VAW.REFU.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%)"
"SG.VAW.REFU.Q1.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q1 (lowest)"
"SG.VAW.REFU.Q2.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q2"
"SG.VAW.REFU.Q3.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q3"
"SG.VAW.REFU.Q4.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q4"
"SG.VAW.REFU.Q5.ZS"	"Women who believe a husband is justified in beating his wife when she refuses sex with him (%): Q5 (highest)"
"SG.RSX.REAS.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%)"
"SG.RSX.REAS.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%): Q1 (lowest)"
"SG.RSX.REAS.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%): Q2"
"SG.RSX.REAS.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%): Q3"
"SG.RSX.REAS.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%): Q4"
"SG.RSX.REAS.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband for all of the reasons (%): Q5 (highest)"
"SG.RSX.NORS.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%)"
"SG.RSX.NORS.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q1 (lowest)"
"SG.RSX.NORS.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q2"
"SG.RSX.NORS.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q3"
"SG.RSX.NORS.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q4"
"SG.RSX.NORS.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q5 (highest)"
"SG.RSX.BRTH.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%)"
"SG.RSX.BRTH.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q1 (lowest)"
"SG.RSX.BRTH.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q2"
"SG.RSX.BRTH.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q3"
"SG.RSX.BRTH.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q4"
"SG.RSX.BRTH.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q5 (highest)"
"SG.RSX.TIRD.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%)"
"SG.RSX.TIRD.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%): Q1 (lowest)"
"SG.RSX.TIRD.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%): Q2"
"SG.RSX.TIRD.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%): Q3"
"SG.RSX.TIRD.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%): Q4"
"SG.RSX.TIRD.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband if she is tired or not in the mood (%): Q5 (highest)"
"SG.RSX.SXOT.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%)"
"SG.RSX.SXOT.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%): Q1 (lowest)"
"SG.RSX.SXOT.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%): Q2"
"SG.RSX.SXOT.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%): Q3"
"SG.RSX.SXOT.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%): Q4"
"SG.RSX.SXOT.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sex with other women (%): Q5 (highest)"
"SG.RSX.TMDS.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%)"
"SG.RSX.TMDS.Q1.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%): Q1 (lowest)"
"SG.RSX.TMDS.Q2.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%): Q2"
"SG.RSX.TMDS.Q3.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%): Q3"
"SG.RSX.TMDS.Q4.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%): Q4"
"SG.RSX.TMDS.Q5.ZS"	"Women who believe a wife is justified refusing sex with her husband if she knows he has sexually transmitted disease (%): Q5 (highest)"
"SG.OWN.HSNO.FE.ZS"	"Women who do not own a house (% of women age 15-49)"
"SG.OWN.HSNO.FE.Q1.ZS"	"Women who do not own a house (% of women age 15-49): Q1 (lowest)"
"SG.OWN.HSNO.FE.Q2.ZS"	"Women who do not own a house (% of women age 15-49): Q2"
"SG.OWN.HSNO.FE.Q3.ZS"	"Women who do not own a house (% of women age 15-49): Q3"
"SG.OWN.HSNO.FE.Q4.ZS"	"Women who do not own a house (% of women age 15-49): Q4"
"SG.OWN.HSNO.FE.Q5.ZS"	"Women who do not own a house (% of women age 15-49): Q5 (highest)"
"SG.OWN.LDNO.FE.ZS"	"Women who do not own land (% of women age 15-49)"
"SG.OWN.LDNO.FE.Q1.ZS"	"Women who do not own land (% of women age 15-49): Q1 (lowest)"
"SG.OWN.LDNO.FE.Q2.ZS"	"Women who do not own land (% of women age 15-49): Q2"
"SG.OWN.LDNO.FE.Q3.ZS"	"Women who do not own land (% of women age 15-49): Q3"
"SG.OWN.LDNO.FE.Q4.ZS"	"Women who do not own land (% of women age 15-49): Q4"
"SG.OWN.LDNO.FE.Q5.ZS"	"Women who do not own land (% of women age 15-49): Q5 (highest)"
"SG.OWN.HSAL.FE.ZS"	"Women who own a house alone (% of women age 15-49)"
"SG.OWN.HSAL.FE.Q1.ZS"	"Women who own a house alone (% of women age 15-49): Q1 (lowest)"
"SG.OWN.HSAL.FE.Q2.ZS"	"Women who own a house alone (% of women age 15-49): Q2"
"SG.OWN.HSAL.FE.Q3.ZS"	"Women who own a house alone (% of women age 15-49): Q3"
"SG.OWN.HSAL.FE.Q4.ZS"	"Women who own a house alone (% of women age 15-49): Q4"
"SG.OWN.HSAL.FE.Q5.ZS"	"Women who own a house alone (% of women age 15-49): Q5 (highest)"
"SG.OWN.HSAJ.FE.ZS"	"Women who own a house both alone and jointly (% of women age 15-49)"
"SG.OWN.HSAJ.FE.Q1.ZS"	"Women who own a house both alone and jointly (% of women age 15-49): Q1 (lowest)"
"SG.OWN.HSAJ.FE.Q2.ZS"	"Women who own a house both alone and jointly (% of women age 15-49): Q2"
"SG.OWN.HSAJ.FE.Q3.ZS"	"Women who own a house both alone and jointly (% of women age 15-49): Q3"
"SG.OWN.HSAJ.FE.Q4.ZS"	"Women who own a house both alone and jointly (% of women age 15-49): Q4"
"SG.OWN.HSAJ.FE.Q5.ZS"	"Women who own a house both alone and jointly (% of women age 15-49): Q5 (highest)"
"SG.OWN.HSJT.FE.ZS"	"Women who own a house jointly (% of women age 15-49)"
"SG.OWN.HSJT.FE.Q1.ZS"	"Women who own a house jointly (% of women age 15-49): Q1 (lowest)"
"SG.OWN.HSJT.FE.Q2.ZS"	"Women who own a house jointly (% of women age 15-49): Q2"
"SG.OWN.HSJT.FE.Q3.ZS"	"Women who own a house jointly (% of women age 15-49): Q3"
"SG.OWN.HSJT.FE.Q4.ZS"	"Women who own a house jointly (% of women age 15-49): Q4"
"SG.OWN.HSJT.FE.Q5.ZS"	"Women who own a house jointly (% of women age 15-49): Q5 (highest)"
"SG.OWN.LDAL.FE.ZS"	"Women who own land alone (% of women age 15-49)"
"SG.OWN.LDAL.FE.Q1.ZS"	"Women who own land alone (% of women age 15-49): Q1 (lowest)"
"SG.OWN.LDAL.FE.Q2.ZS"	"Women who own land alone (% of women age 15-49): Q2"
"SG.OWN.LDAL.FE.Q3.ZS"	"Women who own land alone (% of women age 15-49): Q3"
"SG.OWN.LDAL.FE.Q4.ZS"	"Women who own land alone (% of women age 15-49): Q4"
"SG.OWN.LDAL.FE.Q5.ZS"	"Women who own land alone (% of women age 15-49): Q5 (highest)"
"SG.OWN.LDAJ.FE.ZS"	"Women who own land both alone and jointly (% of women age 15-49)"
"SG.OWN.LDAJ.FE.Q1.ZS"	"Women who own land both alone and jointly (% of women age 15-49): Q1 (lowest)"
"SG.OWN.LDAJ.FE.Q2.ZS"	"Women who own land both alone and jointly (% of women age 15-49): Q2"
"SG.OWN.LDAJ.FE.Q3.ZS"	"Women who own land both alone and jointly (% of women age 15-49): Q3"
"SG.OWN.LDAJ.FE.Q4.ZS"	"Women who own land both alone and jointly (% of women age 15-49): Q4"
"SG.OWN.LDAJ.FE.Q5.ZS"	"Women who own land both alone and jointly (% of women age 15-49): Q5 (highest)"
"SG.OWN.LDJT.FE.ZS"	"Women who own land jointly (% of women age 15-49)"
"SG.OWN.LDJT.FE.Q1.ZS"	"Women who own land jointly (% of women age 15-49): Q1 (lowest)"
"SG.OWN.LDJT.FE.Q2.ZS"	"Women who own land jointly (% of women age 15-49): Q2"
"SG.OWN.LDJT.FE.Q3.ZS"	"Women who own land jointly (% of women age 15-49): Q3"
"SG.OWN.LDJT.FE.Q4.ZS"	"Women who own land jointly (% of women age 15-49): Q4"
"SG.OWN.LDJT.FE.Q5.ZS"	"Women who own land jointly (% of women age 15-49): Q5 (highest)"
"SP.M15.2024.FE.ZS"	"Women who were first married by age 15 (% of women ages 20-24)"
"SP.M18.2024.FE.ZS"	"Women who were first married by age 18 (% of women ages 20-24)"
"SH.DYN.AIDS.FE.ZS"	"Women's share of population ages 15+ living with HIV (%)"
"UIS.LPP.AG15T24"	"Youth illiterate population, 15-24 years, % female"
"UIS.LP.AG15T24.F"	"Youth illiterate population, 15-24 years, female (number)"
